ColorHex,ColrorTeam,ColorSkin,ColorRarity; 
#DDC0AC,PeCans,B7896A,6.94;
#FCDACA,ButterUdders,F9BE9D,8.33;
#ffe1b6,TataColadas,F9C87A,7.63;
#e2dd40,LimeJellies,377813,1.38;
#8ac17b,GreenTeatea,31872F,1.38;
#70e2b4,RackBerries,385978,2.76;
#56c195,GreenFairies,1E8774,0.69;
#9b7bc1,PassionFronts,632F87,0.69;
#c12eb7,BrasBerries,871362,1.38;
#eacece,CocoNaugthy,D6AAAA,8.33;
#e27f84,CherryBosoms,891946,6.94;
#ff9a9f,CherryBosoms,891946,6.94;
#f9cdaf,CupCakes,E29764,8.33;
#c1958e,ChocoLattes,874D3C,7.63;
#e6bbb4,ChocoLattes,874D3C,7.63;
#cdbef7,PurpleHush,5F4B8B,6.94;
#f9b4e4,WaterMelons,EF6EAA,7.63;
#f4d4fc,StarBust,F3A4FF,8.33;
#9bd3f9,BooBerries,30B4E2,7.63;
#ebf2a7,PaPairmint,BFD65B,6.94;
