TT id,LinkColorHex,ColorTeam (from LinkColorHex),IMG WP,ColorSkin (from LinkColorHex),ShapesLink,ShapeRarity,ColorRarity,RarityTotal,RarityTotal TTid Factor,TTidFactorCal,RaritiesConcatenated,RaritiesArray,Concatenate Attibutes,Concatenate Attributes and Array
17,#e27f84,CherryBosoms_OO,t_12.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/8-GPvjZ4o8Sq8QD3zSkhIg/2ZHejtn2apsz65VBzOqEPRDRAiq_8vq6a8tjWrILHynhtDU73NkZwnhiX_4ij41DCF9AYwVuggc9G9oLP22CEQ/7BLQYyjvKiztJK528jajo9ynBNPaNQgHzl_zJBMZmDI),#891946,Artemis,12.50,0.69,0.056,0.0094,0.1700,RC-0.69_RS-12.5_RT-0.06,RC-0.69_RS-12.5_RT-0.06,tts_CherryBosoms_OO-Artemis-17_RC-0.69_RS-12.5_RT-0.06,tts_CherryBosoms_OO-Artemis-17_
53,#56c195,GreenFairies,t_99.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/wWgABxPpzA6EpRxWG5NyzQ/BW1tgt90pV3DbUJfBC1e4lZULPsHpLnKI3w4yaR6GB7a0ZdeZFnDayVmh-2DydXP79S9uayIRkSz-4q0uugDrg/FQGI99xj5lmhnCyXOISJ6fO7gHM6XLZRwUXYM0Ikg5g),#1E8774,Artemis,12.50,0.69,0.056,0.0294,0.5300,RC-0.69_RS-12.5_RT-0.06,RC-0.69_RS-12.5_RT-0.06,tts_GreenFairies-Artemis-53_RC-0.69_RS-12.5_RT-0.06,tts_GreenFairies-Artemis-53_
57,#9b7bc1,PassionFronts,t_121.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/0nzZCZ-DvLJmbLqGwmJUmQ/Or5jMfIS6P2I7qQdiGNEfb52mWEqWZT2ymeDxnRh2SQG1jVZfF7-EOC-sKOpfvebb2wIw4Kz3mW8AoaY2893PD0l1U6bmSg6DOf2xqPv-zM/nlQf149RvyQm3n3dSVthD7ys4WUR88NmdE3IEXpVPbA),#632F87,Artemis,12.50,0.69,0.056,0.0317,0.5700,RC-0.69_RS-12.5_RT-0.06,RC-0.69_RS-12.5_RT-0.06,tts_PassionFronts-Artemis-57_RC-0.69_RS-12.5_RT-0.06,tts_PassionFronts-Artemis-57_
2,#c1958e,ChocoLattes_OO,t_7.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/u1cVnSff2i84UPdXUtZlhg/Q2zIbKPs4lJ8gVixEyusbbCQuOAF-FKSIz0HZO4im5GA6l-prNwe2hKyND4dQm8Dxic-QkgZcYN9YrM6vC2KZg/mdUcn96h1R_MenxfDHNK3eCjSwskuj0Cldh5Z-5ooWM),#874D3C,Oh Buoys,8.33,0.69,0.083,0.0017,0.0200,RC-0.69_RS-8.33_RT-0.08,RC-0.69_RS-8.33_RT-0.08,tts_ChocoLattes_OO-Oh Buoys-2_RC-0.69_RS-8.33_RT-0.08,tts_ChocoLattes_OO-Oh Buoys-2_
50,#8ac17b,GreenTeatea,t_83.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/GYLBOxQX54lbnzVC_5jbzA/HtcnkgZquSJ2earFqKCue0T0SB0Q5FbdLdH4j40CosKv3_-bUv0HKMVwiqnsIBiPVST9sLK0ePFJwaoa27AL3Q/t7KKpDsIgym4MmVSUHzKHpVUxD7g0p2AsMr4VV9dxj4),#31872F,Artemis,12.50,1.39,0.111,0.0556,0.5000,RC-1.39_RS-12.5_RT-0.11,RC-1.39_RS-12.5_RT-0.11,tts_GreenTeatea-Artemis-50_RC-1.39_RS-12.5_RT-0.11,tts_GreenTeatea-Artemis-50_
58,#c12eb7,BrasBerries,t_141.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/P754Jqim2f6ny7Io6ywlig/59jsvH6msmuHiDJieWgpHk1XNGd9-_KOvLjD3NrejPPaik4hNqhwec_-5rCAiH7ZOgbqQ0mEdAZRbm1c4ikktn7ZSPq6fxaHaKIbsmmFyj4/WZkH5OLNWecN_FtMAPmy0drJv-oh4g86wkSc1xLKxDM),#871362,Artemis,12.50,1.39,0.111,0.0644,0.5800,RC-1.39_RS-12.5_RT-0.11,RC-1.39_RS-12.5_RT-0.11,tts_BrasBerries-Artemis-58_RC-1.39_RS-12.5_RT-0.11,tts_BrasBerries-Artemis-58_
63,#e2dd40,LimeJellies,t_8.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/75B_o9ws1fmanWxxTJhE3A/FODAJKNCopNPMAc4EX0STroeOcgbvpmiOzc3ZTjk1ln9yg2XsLm8uwIYC0Khklx6pRzMsDlInmNk3q3qqWpnOw/4QP9o0duM_J1MG3LIwP7qNbRZErMVdc91ynvY8-0NWg),#377813,Artemis,12.50,1.39,0.111,0.0700,0.6300,RC-1.39_RS-12.5_RT-0.11,RC-1.39_RS-12.5_RT-0.11,tts_LimeJellies-Artemis-63_RC-1.39_RS-12.5_RT-0.11,tts_LimeJellies-Artemis-63_
56,#e2dd40,LimeJellies,t_55.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/fd55jlKDAitZhJDQvfUUfg/qw_0ZByj6hS_7Ro7Md065XlGtkCYS9_QwFVEC9-FzycIVXSgTgQhOClGs9B37oserbRESF3AltGx0oagfui72w/w_4-DQ3tRv-iRER5VSmfZuBGUqhULMkEJvpflE3WOXc),#377813,Perkies,10.42,1.39,0.133,0.0747,0.5600,RC-1.39_RS-10.42_RT-0.13,RC-1.39_RS-10.42_RT-0.13,tts_LimeJellies-Perkies-56_RC-1.39_RS-10.42_RT-0.13,tts_LimeJellies-Perkies-56_
59,#c12eb7,BrasBerries,t_54.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/gd5GH6ID-2JXE_N0u5M2Pg/H-eJ7cwvRechp4QSgVESnDIiJ-YrSGTIh3xY_zxw8vYT9joaVOS56_J4SZ5anecN7miF0RXJmkPWnq8Bu6i-qg/6LBsTJNAH3OpTgELFNRgCINk_wPVUa07KjKZYanuKOY),#871362,Perkies,10.42,1.39,0.133,0.0787,0.5900,RC-1.39_RS-10.42_RT-0.13,RC-1.39_RS-10.42_RT-0.13,tts_BrasBerries-Perkies-59_RC-1.39_RS-10.42_RT-0.13,tts_BrasBerries-Perkies-59_
46,#8ac17b,GreenTeatea,t_104.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/84brPvWB63asz_jqc1TSDg/3g3AA4jcRiSadQ55OMDv5wbYW1w3AHIvPnA9P8NTCqjec2EQygN_QQZQEFhz82PIT8hMmfWYNq3WAVxcNpRzeYKxyZtM2KST51LHx4kauVY/-djSLaqQfP3Ctbp9NlViBxCIldEtP0UYAVkcgWiniLE),#31872F,Trooper,6.94,1.39,0.200,0.0920,0.4600,RC-1.39_RS-6.94_RT-0.2,RC-1.39_RS-6.94_RT-0.2,tts_GreenTeatea-Trooper-46_RC-1.39_RS-6.94_RT-0.2,tts_GreenTeatea-Trooper-46_
